1,2,3,4,5
12,16,4,4,7
6,10,9,2,5
9,4,3,1,3
8,5,3,1,3
5,6,4,4,4
5,6,6,3,1
10,9,9,4,5
23,11,5,2,4
40,14,11,4,7
40,16,13,7,14
32,9,12,10,8
34,10,10,6,12
31,22,13,7,16
32,12,10,6,16
31,11,15,6,17
34,19,10,9,14
31,12,15,13,16
30,15,28,13,19
22,15,14,12,14
29,22,18,8,14
24,16,11,6,15
11,22,19,10,15
16,20,14,8,13
13,20,11,8,8
8,8,11,2,6
6,7,9,2,5
4,6,3,3,5
5,11,3,2,2
5,6,3,2,2
10,8,2,2,3
18,7,6,2,5
73,19,11,5,14
137,23,14,14,25
150,20,12,2,21
180,20,12,11,25
162,28,16,6,16
157,26,11,9,17
126,24,19,6,18
157,23,15,12,18
160,23,13,8,17
126,23,7,13,21
73,21,12,16,28
37,20,18,16,39
32,15,15,10,16
34,15,15,16,11
30,20,14,11,12
19,27,13,10,5
21,25,6,5,8
14,16,5,9,8
8,11,3,7,4
10,9,1,4,3
9,6,3,5,4
7,4,1,5,3
11,5,3,6,1
14,11,7,9,7
81,7,11,6,10
143,24,12,11,29
175,24,11,8,18
182,28,7,5,23
165,31,17,4,12
131,31,13,7,21
132,25,6,6,15
168,29,18,4,20
161,25,13,5,21
166,22,8,10,21
94,21,15,7,33
30,27,29,10,37
21,22,22,8,22
28,28,18,8,20
18,19,12,10,16
13,27,18,11,12
13,17,12,7,7
6,13,13,6,10
8,8,2,3,5
6,8,4,4,3
3,4,3,3,4
3,1,2,4,3
9,6,4,4,3
19,9,10,7,6
76,8,7,8,17
130,28,13,11,27
167,29,11,7,23
204,23,12,7,20
180,32,9,7,21
133,36,12,8,14
131,25,15,5,20
147,23,16,5,13
159,29,18,14,22
133,23,14,8,20
72,25,17,8,34
24,15,24,13,36
26,25,11,12,18
29,20,20,5,15
24,14,11,4,15
14,35,9,10,12
13,15,11,6,7
15,17,6,3,8
10,7,5,3,6
7,6,2,2,4
9,7,2,2,3
11,6,2,3,2
11,3,6,3,4
19,11,5,4,6
68,14,12,7,13
126,16,13,11,30
147,22,8,8,21
161,15,10,3,15
173,31,16,4,18
135,28,12,5,19
132,29,7,7,14
145,24,13,8,15
152,27,15,8,13
122,31,19,3,29
88,25,15,11,35
30,20,18,16,30
23,16,10,8,20
26,17,12,9,16
21,17,12,13,11
18,25,13,9,13
12,17,10,8,7
11,18,11,5,10
11,12,5,5,9
9,7,4,3,5
5,8,2,4,5
3,7,2,4,5
7,8,5,2,7
21,10,9,6,6
78,15,19,7,16
136,22,9,11,26
168,22,8,12,18
197,28,17,9,21
159,21,11,6,15
113,35,6,9,16
114,27,10,11,20
131,15,15,9,13
118,24,10,6,18
108,23,23,8,17
79,19,21,13,28
23,26,15,10,33
27,20,10,6,18
26,12,12,8,15
12,11,13,6,13
16,20,10,9,13
15,19,10,8,10
13,16,7,1,8
13,13,5,2,4
12,9,3,4,3
10,6,1,2,3
7,5,1,1,2
9,5,2,4,5
12,6,5,5,7
35,10,8,5,8
69,6,9,6,14
97,16,7,4,18
96,18,10,7,12
78,14,14,6,13
55,19,11,5,16
51,18,8,4,14
69,9,10,7,14
66,15,13,6,18
59,19,13,9,19
41,16,16,10,20
20,21,13,7,14
20,17,11,6,12
20,16,14,7,12
26,11,18,9,11
22,13,15,7,8
15,10,10,5,8
14,11,5,5,10
7,11,5,5,7
3,7,7,4,5
3,6,3,3,5
2,4,4,4,5
4,2,2,3,7
4,10,5,3,7
16,14,8,6,8
21,12,11,7,18
39,17,12,10,14
28,15,6,8,8
34,21,14,8,14
25,14,12,7,13
28,8,8,7,10
41,8,9,6,16
36,8,12,6,10
32,18,7,7,17
28,19,16,7,16
25,16,10,12,17
24,16,11,9,13
19,17,12,10,16
22,17,10,3,19
16,14,13,4,8
12,15,13,1,6
