2022-10-24 09:12:28,967 INFO     Node Information Loaded: 0.03422737121582031s
2022-10-24 09:12:28,976 DEBUG    Processed Links:
2022-10-24 09:12:28,976 DEBUG        (node3954, node5149) - port: 1, 100GB, 0.00125ms, 4.5+14w
2022-10-24 09:12:28,976 DEBUG        (node7190, node6255) - port: 1, 100GB, 0.0034000000000000002ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6074, node6374) - port: 1, 100GB, 0.00055ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6508, node5945) - port: 1, 100GB, 0.0027500000000000003ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node3713) - port: 1, 100GB, 0.00305ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node6188) - port: 1, 100GB, 0.0024ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node7311) - port: 1, 100GB, 0.0034000000000000002ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node5989) - port: 1, 100GB, 0.0028000000000000004ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node6075) - port: 1, 100GB, 0.0023ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5312, node5833) - port: 1, 100GB, 0.0002ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node7738) - port: 1, 100GB, 0.00415ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node7901) - port: 1, 100GB, 0.0032500000000000003ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5379, node6242) - port: 1, 100GB, 0.00125ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node5885) - port: 1, 100GB, 0.0039000000000000003ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node6077, node6037) - port: 1, 100GB, 0.00415ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5713, node6041) - port: 1, 100GB, 0.00305ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5546, node3835) - port: 1, 100GB, 0.00305ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5332, node6345) - port: 1, 100GB, 0.0016500000000000002ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5546, node7595) - port: 1, 100GB, 0.00295ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5332, node5902) - port: 1, 100GB, 0.00095ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node7124, node5394) - port: 1, 100GB, 0.00185ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5318, node6178) - port: 1, 100GB, 0.0019500000000000001ms, 4.5+14w
2022-10-24 09:12:28,977 DEBUG        (node5315, node6193) - port: 1, 100GB, 0.00035000000000000005ms, 4.5+14w
