2022-10-24 09:10:04,431 INFO     Node Information Loaded: 0.0026688575744628906s
2022-10-24 09:10:04,434 DEBUG    Processed Links:
2022-10-24 09:10:04,434 DEBUG        (node0, node5314) - port: 10, 100GB, 0.0018ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node0, node5714) - port: 10, 100GB, 0.00265ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node0, node6191) - port: 10, 100GB, 0.0029ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node0, node7187) - port: 10, 100GB, 0.00295ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node0, node7314) - port: 10, 100GB, 0.0014000000000000002ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node5314, node3416) - port: 8, 100GB, 0.0055000000000000005ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node5314, node4696) - port: 8, 100GB, 0.0046ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node5314, node5315) - port: 8, 100GB, 0.0053ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node5714, node3522) - port: 8, 100GB, 0.00475ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node5714, node5318) - port: 8, 100GB, 0.0066500000000000005ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node5714, node6662) - port: 8, 100GB, 0.0064ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node6191, node3714) - port: 8, 100GB, 0.0047ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node6191, node4434) - port: 8, 100GB, 0.0055000000000000005ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node6191, node5834) - port: 8, 100GB, 0.0055000000000000005ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node7187, node3139) - port: 8, 100GB, 0.005600000000000001ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node7187, node3926) - port: 8, 100GB, 0.006500000000000001ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node7187, node5377) - port: 8, 100GB, 0.0067ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node7314, node4812) - port: 8, 100GB, 0.006999999999999999ms, 4.5+14w
2022-10-24 09:10:04,434 DEBUG        (node7314, node5891) - port: 8, 100GB, 0.0051ms, 4.5+14w
